word1	word2	score
sun	sunlight	50.000000
automobile	car	50.000000
river	water	49.000000
stairs	staircase	49.000000
morning	sunrise	49.000000
rain	storm	49.000000
cat	kittens	49.000000
dance	dancers	49.000000
camera	photography	49.000000
cat	feline	48.000000
sunny	sunshine	48.000000
pregnancy	pregnant	48.000000
beach	sand	48.000000
bakery	bread	48.000000
flowers	garden	48.000000
grass	lawn	48.000000
copper	metal	48.000000
photos	photography	47.000000
cemetery	graveyard	47.000000
gravestone	graveyard	47.000000
sun	sunshine	47.000000
black	dark	47.000000
cathedral	church	47.000000
frozen	ice	47.000000
station	subway	47.000000
children	kids	46.000000
aquarium	fish	46.000000
light	lighting	46.000000
fungi	mushrooms	46.000000
frost	snow	46.000000
burn	flame	46.000000
ocean	sea	46.000000
candy	chocolate	46.000000
car	vehicle	46.000000
concert	music	46.000000
photos	picture	46.000000
grapes	wine	46.000000
bath	bathroom	46.000000
buds	flowers	46.000000
cat	kitty	46.000000
ocean	water	46.000000
aircraft	airplane	46.000000
butterfly	caterpillars	46.000000
hair	wig	46.000000
blossom	buds	46.000000
highway	road	46.000000
bunny	rabbit	46.000000
bread	sandwich	46.000000
mist	misty	46.000000
flowers	petals	46.000000
airplane	flight	46.000000
fish	fishing	46.000000
ice	snow	46.000000
bright	sun	45.000000
shade	tree	45.000000
bicycle	bike	45.000000
truck	vehicle	45.000000
shore	water	45.000000
boat	fishing	45.000000
dog	puppy	45.000000
bride	wedding	45.000000
birds	hummingbird	45.000000
sea	water	45.000000
cow	milk	45.000000
birds	feathers	45.000000
skate	skating	45.000000
chapel	church	45.000000
branch	twigs	45.000000
concert	musicians	45.000000
clothes	dress	45.000000
automobile	vehicle	45.000000
splash	swimming	45.000000
bed	furniture	45.000000
aircraft	flight	45.000000
reptiles	snake	45.000000
motorcycle	scooter	45.000000
coffee	tea	45.000000
feathers	goose	45.000000
pool	swimming	45.000000
eyes	face	45.000000
dirt	dirty	45.000000
railway	train	45.000000
harbour	port	45.000000
fruit	strawberry	45.000000
flight	plane	45.000000
smoke	smoking	45.000000
ivy	plant	45.000000
river	stream	45.000000
lake	water	45.000000
kittens	kitty	45.000000
snow	snowman	45.000000
dog	terrier	45.000000
daffodils	flowers	45.000000
pond	water	45.000000
show	television	44.000000
handwriting	written	44.000000
flood	water	44.000000
jazz	musicians	44.000000
eagle	feathers	44.000000
grapes	vine	44.000000
birds	hawk	44.000000
clothes	outfit	44.000000
exhibition	museum	44.000000
hand	palm	44.000000
grave	graveyard	44.000000
berry	strawberry	44.000000
forest	oak	44.000000
crochet	knitting	44.000000
birds	eagle	44.000000
canine	puppy	44.000000
bar	cocktail	44.000000
bar	pub	44.000000
sunlight	sunshine	44.000000
apple	fruit	44.000000
sun	sunrise	44.000000
gymnastics	sports	44.000000
sailing	ship	44.000000
beach	sea	44.000000
game	hockey	44.000000
bed	pillow	44.000000
daffodils	tulip	44.000000
flowers	plant	44.000000
fire	smoke	44.000000
canine	dog	44.000000
bracelet	jewelry	44.000000
feline	kitty	44.000000
architecture	building	44.000000
shop	shopping	44.000000
highway	traffic	44.000000
lizard	reptiles	44.000000
music	piano	44.000000
strawberry	sweet	44.000000
snow	winter	44.000000
autumn	spring	44.000000
bacon	meat	44.000000
raspberry	strawberry	44.000000
chipmunk	squirrel	44.000000
coast	harbor	44.000000
dress	skirt	44.000000
sun	sunny	44.000000
lily	tulip	44.000000
grave	gravestone	44.000000
bright	sunny	44.000000
dandelion	plant	44.000000
light	sunlight	44.000000
hill	mountain	43.000000
burger	food	43.000000
sea	shore	43.000000
feathers	peacock	43.000000
children	mother	43.000000
night	sunset	43.000000
orange	peel	43.000000
subway	train	43.000000
camera	lens	43.000000
daisy	petals	43.000000
aircraft	wing	43.000000
bloom	flowers	43.000000
clothes	jacket	43.000000
dinner	restaurant	43.000000
swim	swimming	43.000000
cemetery	gravestone	43.000000
cigarette	smoke	43.000000
shirt	skirt	43.000000
baby	pregnant	43.000000
cherry	fruit	43.000000
beef	meat	43.000000
blossom	daffodils	43.000000
bloom	blossom	43.000000
maple	oak	43.000000
frost	winter	43.000000
colour	pink	43.000000
dog	poodle	43.000000
lantern	light	43.000000
coast	sea	43.000000
tunnel	underground	43.000000
dog	pets	43.000000
hair	haircut	43.000000
day	sunset	43.000000
bikini	swimsuit	43.000000
rail	railway	43.000000
art	museum	43.000000
painting	portrait	43.000000
dress	wedding	43.000000
poodle	puppy	43.000000
port	ship	43.000000
bloom	tulip	43.000000
cold	winter	43.000000
bakery	cake	43.000000
building	roof	43.000000
iron	steel	43.000000
birds	stork	43.000000
lily	plant	43.000000
eat	food	43.000000
bathroom	kitchen	43.000000
jazz	music	43.000000
fabric	wool	43.000000
aquarium	tank	43.000000
fire	flame	43.000000
bloom	rose	43.000000
leaf	nature	43.000000
town	village	43.000000
apple	orange	43.000000
dawn	sunrise	43.000000
engine	gasoline	43.000000
oak	tree	43.000000
guitar	piano	43.000000
chocolate	dessert	43.000000
cat	paws	43.000000
birds	goose	43.000000
blue	sky	43.000000
pool	swim	43.000000
bracelet	necklace	42.000000
fruit	salad	42.000000
eggs	nest	42.000000
boat	sailing	42.000000
birds	crow	42.000000
birds	flamingo	42.000000
day	sunshine	42.000000
hockey	sports	42.000000
burger	eat	42.000000
fruit	raspberry	42.000000
lunch	sandwich	42.000000
feet	toes	42.000000
baby	mother	42.000000
amphibians	frog	42.000000
burn	fire	42.000000
