Anyone can do that.	任何人都可以做到。
How about another piece of cake?	要不要再來一塊蛋糕？
She married him.	她嫁给了他。
I don't like learning irregular verbs.	我不喜欢学习不规则动词。
It's a whole new ball game for me.	這對我來說是個全新的球類遊戲。
He's sleeping like a baby.	他正睡着，像个婴儿一样。
He can play both tennis and baseball.	他既会打网球，又会打棒球。
We should cancel the hike.	我們應該取消這次遠足。
He is good at dealing with children.	他擅長應付小孩子。
She will do her best to be here on time.	她会尽量按时赶来的。
Why are you so good at cooking?	为什么你做饭那么拿手呢？
He has recovered from his bad cold.	他从重感冒中恢复了过来。
It's a dead end.	这是个死胡同。
I rejected the offer.	我拒绝了报价。
He often quotes Milton.	他常引用米爾頓。
Mommy, may I go swimming?	媽咪，我可以去游泳嗎？
Miyazaki is not what it used to be.	宮崎不是它往日的樣子了。
People must love one another.	人要爱他人。
Where do you have pain?	你哪裡痛？
Keep oil away from the fire.	讓油遠離火。
This is never going to end.	这将永远继续下去。
He had a hungry look.	他面有飢色
I don't know which button to push.	我不知道要按哪個按鈕。
He heard the news on the radio.	他從收音機聽到了這個消息。
Don't leave the water running.	不要讓水一直流。
I'm opposed to any type of war.	我反對任何形式的戰爭。
I had a hard day.	我过了难挨的一天。
He will succeed to the throne.	他会继承王位。
Please give me something hot to drink.	請給我一些熱的東西喝。
Have fun.	玩得開心。
The library is on the second floor.	圖書館在二樓。
Look at me with your books closed.	把你的書閤起來看著我。
I still love him.	我依旧爱着他。
His low salary prevents him from buying the house.	他的低薪水让他买不了房。
Hang your coat on the hook.	把你的外套掛在鉤子上。
I can't understand his feelings.	我不明白他的感受。
She didn't try to hide the truth.	她没有试图掩盖真相。
Dad bought me a camera.	爸爸给我买了一个照相机。
I love her and she loves me.	我愛她，她也愛我。
The boy has learned to read.	男孩學會了閱讀。
You are irresistible.	你是不可抗拒的。
It was heartless of him to say such a thing to the sick man.	他对一个生病的男人说这种事真是没良心。
He calls her up every night.	他每天晚上打電話給她。
They left one after another.	他们一个接着一个地离开了。
Father always has the tailor make his suits.	父親總是讓這位裁縫師為他做西裝。
We got him to carry our bag.	我們讓他幫我們拿袋子。
He drove the truck to Dallas.	他開卡車到達拉斯。
The baby smiled at me.	宝宝对我笑了。
Did he propose to you?	他向你求婚了嗎？
Cheese is made from milk.	奶酪是用奶做成的。
I help my mother with the housework every day.	我每天都帮我妈做家务。
I spoke with him about the matter.	我跟他談過這個問題。
